,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist,Track,Album,Track ID,language
0,0.664,0.968,11,-3.775,0,0.177,0.291,0,0.241,0.639,134.116,audio_features,08ntOTgpfOo1ZCqUgsxeGo,spotify:track:08ntOTgpfOo1ZCqUgsxeGo,https://api.spotify.com/v1/tracks/08ntOTgpfOo1ZCqUgsxeGo,https://api.spotify.com/v1/audio-analysis/08ntOTgpfOo1ZCqUgsxeGo,225840,4,Dalida,Laissez-moi danser,LES NUMEROS UN DE DALIDA,08ntOTgpfOo1ZCqUgsxeGo,French
1,0.61,0.634,11,-13.052,0,0.154,0.245,0,0.206,0.876,111.364,audio_features,0L4JEAhghqIcwjVyMJv8Yw,spotify:track:0L4JEAhghqIcwjVyMJv8Yw,https://api.spotify.com/v1/tracks/0L4JEAhghqIcwjVyMJv8Yw,https://api.spotify.com/v1/audio-analysis/0L4JEAhghqIcwjVyMJv8Yw,182800,4,Au P'Tit Bonheur,J'veux du soleil,Le Mal De Vivre,0L4JEAhghqIcwjVyMJv8Yw,French
2,0.682,0.818,4,-6.129,0,0.03,0.00434,0.00000471,0.0992,0.894,118.926,audio_features,3utIJ1ebqgyof7OyPLaPAg,spotify:track:3utIJ1ebqgyof7OyPLaPAg,https://api.spotify.com/v1/tracks/3utIJ1ebqgyof7OyPLaPAg,https://api.spotify.com/v1/audio-analysis/3utIJ1ebqgyof7OyPLaPAg,233640,4,Images,Les démons de minuit,Best Of Images & Début De Soirée,3utIJ1ebqgyof7OyPLaPAg,French
3,0.711,0.868,1,-7.146,1,0.0495,0.085,0.0000012,0.0637,0.735,102.916,audio_features,5oKu1Ey6XNDXv5B3LG7kn9,spotify:track:5oKu1Ey6XNDXv5B3LG7kn9,https://api.spotify.com/v1/tracks/5oKu1Ey6XNDXv5B3LG7kn9,https://api.spotify.com/v1/audio-analysis/5oKu1Ey6XNDXv5B3LG7kn9,242414,4,Philippe Cataldo,Les divas du dancing,Les divas du dancing,5oKu1Ey6XNDXv5B3LG7kn9,French
4,0.612,0.915,5,-5.365,1,0.125,0.253,0,0.425,0.738,129.243,audio_features,1c3Covtj7j3rEisBGmhFNO,spotify:track:1c3Covtj7j3rEisBGmhFNO,https://api.spotify.com/v1/tracks/1c3Covtj7j3rEisBGmhFNO,https://api.spotify.com/v1/audio-analysis/1c3Covtj7j3rEisBGmhFNO,252853,4,Michel Sardou,Être une femme,L'album de sa vie 100 titres,1c3Covtj7j3rEisBGmhFNO,French
5,0.693,0.672,10,-5.929,1,0.0383,0.19,0,0.157,0.478,122.066,audio_features,7gx4vX9S0Cri3yFtMYkDSN,spotify:track:7gx4vX9S0Cri3yFtMYkDSN,https://api.spotify.com/v1/tracks/7gx4vX9S0Cri3yFtMYkDSN,https://api.spotify.com/v1/audio-analysis/7gx4vX9S0Cri3yFtMYkDSN,274987,4,Gold,Laissez Nous Chanter - 2017 Remastered,Calicoba (2017 Remastered),7gx4vX9S0Cri3yFtMYkDSN,French
6,0.474,0.93,10,-6.422,0,0.0708,0.241,0.000903,0.052,0.615,199.147,audio_features,3MPmRgJHfD7CADCibQfNgG,spotify:track:3MPmRgJHfD7CADCibQfNgG,https://api.spotify.com/v1/tracks/3MPmRgJHfD7CADCibQfNgG,https://api.spotify.com/v1/audio-analysis/3MPmRgJHfD7CADCibQfNgG,272160,4,Julie Pietri,Eve lève-toi,Eve lève-toi,3MPmRgJHfD7CADCibQfNgG,French
7,0.741,0.64,8,-6.965,1,0.035,0.255,0.0000156,0.0413,0.524,112.266,audio_features,6qfjUmIxPluNISxBgJfvM3,spotify:track:6qfjUmIxPluNISxBgJfvM3,https://api.spotify.com/v1/tracks/6qfjUmIxPluNISxBgJfvM3,https://api.spotify.com/v1/audio-analysis/6qfjUmIxPluNISxBgJfvM3,286533,4,Jean Schultheis,Confidence pour confidence - Version originale 1981,Abracadabra,6qfjUmIxPluNISxBgJfvM3,French
8,0.739,0.63,0,-6.508,1,0.0543,0.402,0,0.572,0.773,119.513,audio_features,7nWMVmzfodNQ5Ezj29yJ3S,spotify:track:7nWMVmzfodNQ5Ezj29yJ3S,https://api.spotify.com/v1/tracks/7nWMVmzfodNQ5Ezj29yJ3S,https://api.spotify.com/v1/audio-analysis/7nWMVmzfodNQ5Ezj29yJ3S,217136,4,Thierry Pastor,Le coup de folie,Le coup de folie,7nWMVmzfodNQ5Ezj29yJ3S,French
9,0.857,0.887,4,-8.142,0,0.0319,0.112,0.00000234,0.135,0.979,130.63,audio_features,6tgOsCso6nMCRg5EtgixZ2,spotify:track:6tgOsCso6nMCRg5EtgixZ2,https://api.spotify.com/v1/tracks/6tgOsCso6nMCRg5EtgixZ2,https://api.spotify.com/v1/audio-analysis/6tgOsCso6nMCRg5EtgixZ2,219836,4,Jean-Pierre Mader,Macumba,Macumba,6tgOsCso6nMCRg5EtgixZ2,French
